Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
54	:	1625202057.091	     1.116	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 4
58	:	1625202057.882	     0.680	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 8
51	:	1625202056.497	     2.128	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 1
57	:	1625202057.684	     1.022	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 7
59	:	1625202058.080	     0.631	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 9
62	:	1625202058.674	     0.677	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 2
60	:	1625202058.278	     1.088	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 6 10
61	:	1625202058.476	     0.924	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 1
63	:	1625202058.872	     0.726	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 3
64	:	1625202059.071	     0.582	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 4
65	:	1625202059.269	     0.697	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 5
66	:	1625202059.467	     0.674	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 6
70	:	1625202060.259	     0.556	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 10
67	:	1625202059.665	     1.180	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 7
68	:	1625202059.863	     1.047	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 8
69	:	1625202060.061	     0.933	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 7 9
72	:	1625202060.656	     0.850	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 2
73	:	1625202060.854	     1.115	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 3
71	:	1625202060.457	     1.608	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 1
74	:	1625202061.052	     1.101	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 4
77	:	1625202061.646	     0.838	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 7
76	:	1625202061.448	     1.115	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 6
75	:	1625202061.250	     1.394	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 8 5
